                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65937,                0.66284,                0.91453,                0.74338,                0.80619,                0.75061,                0.46663,                 1.1794,                 1.4964,                 1.2902,             0.00092952,             0.00092952,             0.00092952
                     36,                0.65607,                0.66457,                0.91895,                0.59649,                0.77013,                0.73012,                0.48326,                 1.2003,                 1.3992,                 1.2404,             0.00092402,             0.00092402,             0.00092402
                     37,                0.65582,                0.62197,                 0.9147,                0.35833,                0.53637,                 0.4188,                0.27522,                 1.2474,                 1.6115,                 1.3104,             0.00091852,             0.00091852,             0.00091852
                     38,                0.65488,                0.65299,                0.91583,                 0.6655,                0.63439,                0.69374,                0.46761,                 1.1939,                 1.1993,                 1.2525,             0.00091302,             0.00091302,             0.00091302
                     39,                0.66839,                0.66317,                0.91292,                0.79287,                0.52883,                0.71463,                0.49399,                 1.1445,                 1.2576,                 1.2338,             0.00090752,             0.00090752,             0.00090752
                     40,                0.65576,                0.62258,                0.91724,                0.71622,                0.61538,                0.69367,                0.46143,                 1.2594,                 1.1853,                 1.2802,             0.00090202,             0.00090202,             0.00090202
                     41,                0.63908,                0.60686,                0.90193,                0.82887,                0.76675,                0.80409,                0.53428,                 1.1542,                 1.3183,                 1.2292,             0.00089652,             0.00089652,             0.00089652
                     42,                0.63369,                0.59571,                0.89554,                0.73784,                0.64138,                0.82741,                0.53615,                 1.2561,                 1.2109,                  1.309,             0.00089102,             0.00089102,             0.00089102
                     43,                0.63841,                0.61123,                0.90653,                0.80078,                0.71414,                0.83932,                0.58083,                 1.2176,                 1.1356,                 1.2686,             0.00088552,             0.00088552,             0.00088552
                     44,                0.65337,                0.61407,                0.91033,                0.81926,                0.52642,                0.74278,                0.49092,                 1.2482,                 1.2535,                 1.2733,             0.00088002,             0.00088002,             0.00088002
                     45,                0.64117,                0.57907,                0.90665,                0.89138,                0.70618,                0.86296,                0.57185,                 1.2177,                 1.0041,                 1.2667,             0.00087452,             0.00087452,             0.00087452
                     46,                0.63591,                0.58247,                0.90318,                0.70896,                0.85345,                 0.8498,                 0.5565,                 1.2145,                 1.0389,                 1.2659,             0.00086902,             0.00086902,             0.00086902
                     47,                0.64217,                0.60455,                0.91202,                0.65919,                0.60492,                0.55259,                0.39876,                 1.2101,                 1.3395,                 1.2059,             0.00086352,             0.00086352,             0.00086352
                     48,                0.64867,                0.57286,                0.90983,                0.50622,                0.60077,                0.59442,                0.40015,                 1.1412,                 1.4656,                 1.2425,             0.00085803,             0.00085803,             0.00085803
                     49,                0.63244,                0.56224,                 0.9037,                0.88371,                0.66723,                 0.8619,                0.59588,                 1.1462,                 1.0744,                 1.2662,             0.00085253,             0.00085253,             0.00085253
                     50,                0.62076,                0.56067,                 0.9039,                0.76019,                0.81061,                0.85619,                0.60358,                  1.089,                0.82219,                 1.2387,             0.00084703,             0.00084703,             0.00084703
                     51,                0.62196,                0.55439,                0.90313,                0.78993,                0.83311,                0.83346,                0.48797,                 1.2094,                 1.0916,                 1.3374,             0.00084153,             0.00084153,             0.00084153
                     52,                0.60528,                0.53684,                 0.9015,                0.60556,                0.84013,                 0.7086,                0.43602,                 1.2381,                  1.227,                 1.3636,             0.00083603,             0.00083603,             0.00083603
                     53,                 0.6078,                0.56974,                0.88648,                0.67097,                0.82308,                0.79669,                0.51045,                 1.1599,                 1.1643,                 1.2669,             0.00083053,             0.00083053,             0.00083053
                     54,                0.60141,                0.54446,                0.88783,                0.76337,                0.84606,                0.84745,                0.56227,                 1.1512,                 1.1391,                 1.2686,             0.00082503,             0.00082503,             0.00082503
                     55,                0.60181,                  0.533,                0.89815,                0.87743,                0.80684,                0.91794,                0.60771,                 1.1151,                0.99879,                 1.2431,             0.00081953,             0.00081953,             0.00081953
                     56,                 0.6094,                0.55418,                 0.8983,                0.59434,                0.89903,                 0.8058,                0.52001,                  1.172,                 1.1309,                 1.2816,             0.00081403,             0.00081403,             0.00081403
                     57,                0.60158,                0.53036,                0.89033,                0.64758,                0.61813,                0.72461,                0.48005,                 1.2608,                 1.2098,                 1.2913,             0.00080853,             0.00080853,             0.00080853
                     58,                0.60723,                0.54227,                0.88012,                0.60937,                0.82864,                0.77933,                0.53229,                 1.1616,                 1.1933,                  1.241,             0.00080303,             0.00080303,             0.00080303
                     59,                0.59815,                0.53072,                0.89002,                0.69919,                0.78309,                0.80916,                 0.5636,                 1.1897,                0.91576,                 1.2957,             0.00079753,             0.00079753,             0.00079753
                     60,                0.61092,                0.53659,                0.90311,                0.65543,                0.80065,                0.80822,                0.55866,                 1.2058,                0.85232,                 1.2951,             0.00079203,             0.00079203,             0.00079203
                     61,                0.60374,                0.52677,                0.89121,                0.66921,                0.64631,                0.76966,                0.52205,                 1.1752,                0.98525,                 1.2514,             0.00078653,             0.00078653,             0.00078653
                     62,                0.61353,                0.51549,                 0.8949,                0.78127,                 0.7031,                0.76873,                0.50668,                 1.1912,                 0.9676,                 1.2445,             0.00078103,             0.00078103,             0.00078103
                     63,                0.59943,                0.52629,                0.89674,                0.75576,                0.68265,                0.77303,                0.51725,                 1.1913,                0.89794,                 1.2695,             0.00077553,             0.00077553,             0.00077553
                     64,                0.58864,                0.48596,                0.88245,                0.90704,                0.62765,                0.86234,                0.58124,                 1.1809,                 1.0068,                 1.3122,             0.00077003,             0.00077003,             0.00077003
                     65,                0.58813,                0.51098,                0.88401,                0.64924,                0.79529,                0.74433,                0.47955,                 1.1547,                 1.1013,                 1.2514,             0.00076453,             0.00076453,             0.00076453
                     66,                0.58643,                0.48204,                0.87984,                0.89315,                0.84321,                0.86906,                0.62652,                 1.1177,                0.78852,                 1.2458,             0.00075904,             0.00075904,             0.00075904
                     67,                 0.5929,                0.48317,                0.88985,                0.86709,                0.75223,                0.91642,                 0.6192,                 1.1854,                0.96301,                 1.2888,             0.00075354,             0.00075354,             0.00075354
                     68,                 0.5971,                0.49417,                0.89494,                0.67571,                0.87551,                0.84587,                0.56382,                  1.201,                0.84426,                 1.3022,             0.00074804,             0.00074804,             0.00074804
                     69,                0.57866,                 0.4679,                0.88457,                0.68168,                0.86813,                0.84741,                0.54739,                  1.199,                 1.0619,                  1.274,             0.00074254,             0.00074254,             0.00074254
                     70,                0.58445,                0.48468,                0.88919,                0.44704,                0.69054,                0.65463,                  0.441,                 1.2301,                 1.2576,                 1.3068,             0.00073704,             0.00073704,             0.00073704
                     71,                0.59802,                0.48419,                0.88629,                0.71766,                0.65906,                0.80845,                0.57174,                 1.1341,                  1.117,                 1.2331,             0.00073154,             0.00073154,             0.00073154
                     72,                0.59387,                 0.4618,                0.88009,                0.67296,                 0.6597,                0.72775,                0.48693,                 1.1566,                 1.6267,                  1.217,             0.00072604,             0.00072604,             0.00072604
                     73,                0.59016,                0.47426,                0.87908,                0.59071,                0.87921,                 0.8573,                0.57263,                 1.1284,                 1.1991,                 1.1941,             0.00072054,             0.00072054,             0.00072054
                     74,                0.58227,                0.45992,                0.88559,                0.70168,                0.66112,                0.77483,                0.53603,                 1.1254,                 1.1084,                 1.2596,             0.00071504,             0.00071504,             0.00071504
                     75,                0.57373,                0.46047,                0.88982,                0.47988,                0.91119,                0.70519,                0.49514,                 1.1369,                 1.0591,                 1.2466,             0.00070954,             0.00070954,             0.00070954
                     76,                0.56835,                0.44595,                0.88058,                0.55764,                0.82233,                0.74812,                0.48939,                 1.2198,                 1.3251,                 1.3121,             0.00070404,             0.00070404,             0.00070404
                     77,                0.56762,                0.45716,                0.87762,                0.71941,                0.77055,                0.76786,                0.52355,                 1.2005,                 1.0563,                 1.2935,             0.00069854,             0.00069854,             0.00069854
                     78,                0.56834,                0.43745,                0.87724,                0.71695,                0.70987,                0.70706,                0.50005,                 1.1763,                 1.0355,                 1.2856,             0.00069304,             0.00069304,             0.00069304
                     79,                 0.5701,                0.43242,                0.88209,                0.62645,                0.74072,                0.73742,                0.51859,                 1.1808,                 1.0701,                 1.2488,             0.00068754,             0.00068754,             0.00068754
                     80,                0.56208,                0.43808,                0.87643,                0.52944,                0.83654,                 0.7539,                0.49941,                 1.1886,                 1.0375,                 1.2475,             0.00068204,             0.00068204,             0.00068204
                     81,                 0.5606,                 0.4667,                0.86806,                0.61853,                0.57604,                 0.7042,                0.49773,                 1.0988,                 1.1132,                  1.187,             0.00067654,             0.00067654,             0.00067654
                     82,                0.56095,                0.44614,                0.88154,                0.87737,                0.56079,                0.74186,                0.52401,                 1.0591,                0.94058,                 1.2155,             0.00067104,             0.00067104,             0.00067104
                     83,                 0.5611,                0.44295,                0.87833,                0.87625,                0.65786,                0.74503,                0.49204,                 1.0944,                0.78894,                 1.1874,             0.00066554,             0.00066554,             0.00066554
                     84,                0.55981,                0.42801,                0.87638,                0.69517,                0.94505,                0.93946,                0.64901,                  1.044,                0.70702,                  1.196,             0.00066005,             0.00066005,             0.00066005
                     85,                0.55188,                0.43621,                0.87349,                0.83618,                0.90938,                0.86636,                0.56482,                 1.1013,                0.81258,                 1.2527,             0.00065455,             0.00065455,             0.00065455
                     86,                0.53843,                0.41486,                0.87632,                0.76117,                0.80504,                0.81211,                0.56565,                 1.1759,                0.79484,                 1.3126,             0.00064905,             0.00064905,             0.00064905
